id	title	company	company_slug	location	type	posted	role_category	seniority	culture_values	glassdoor_rating	apply_url	profile_url	jobs_filter_url	post_count	last_posted	status	og_image
11	Member of Technical Staff, MLE (Korea)	Cohere	cohere	Korea	FullTime	3w+ ago	Other	Staff / Principal	Learning & Growth, Engineering-Driven, Wears Many Hats	2.9	https://jobs.ashbyhq.com/cohere/31c47498-0ccf-4d23-a418-0d2c616ba909?ref=jobsbyculture.com	https://jobsbyculture.com/companies/cohere	https://jobsbyculture.com/jobs?company=cohere		03/14/26 09:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=cohere
12	Enterprise Solutions Engineer	ElevenLabs	elevenlabs	San Francisco	FullTime	3w+ ago	Engineering	Mid-Level	Ship Fast & Iterate, Remote-Friendly, Engineering-Driven, Direct Product Impact, Learning & Growth, Ethical AI / Safety	4.2	https://jobs.ashbyhq.com/elevenlabs/275f43d0-b62d-401d-830c-7c1ac0e688aa?ref=jobsbyculture.com	https://jobsbyculture.com/companies/elevenlabs	https://jobsbyculture.com/jobs?company=elevenlabs		03/14/26 10:01AM	posted	https://jobsbyculture.com/api/og?type=company&slug=elevenlabs
13	Engineering Site Lead	Perplexity AI	perplexity	London	FullTime	3w+ ago	Other	Lead / Manager	Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Strong Comp & Equity, Learning & Growth	4.7	https://jobs.ashbyhq.com/perplexity/638e6823-be7f-46c6-9675-7b1197fc9b8c?ref=jobsbyculture.com	https://jobsbyculture.com/companies/perplexity	https://jobsbyculture.com/jobs?company=perplexity		03/14/26 11:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=perplexity
14	Account Executive, Commercial Install Base 	Vercel	vercel	Hybrid - San Francisco, New York City, Austin	Full-time	2d ago	Sales	Mid-Level	Ship Fast & Iterate, Engineering-Driven, Remote-Friendly, Direct Product Impact, Open Source Culture	3.9	https://job-boards.greenhouse.io/vercel/jobs/5708732004?ref=jobsbyculture.com	https://jobsbyculture.com/companies/vercel	https://jobsbyculture.com/jobs?company=vercel		03/14/26 12:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=vercel
15	Account Advocate	Apollo.io	apollo	Office, Mexico City	Full-time	6d ago	Other	Mid-Level	Ship Fast & Iterate, Engineering-Driven, Remote-Friendly, Direct Product Impact, Learning & Growth	4	https://job-boards.greenhouse.io/apolloio/jobs/5816552004?ref=jobsbyculture.com	https://jobsbyculture.com/companies/apollo	https://jobsbyculture.com/jobs?company=apollo		03/14/26 01:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=apollo
16	Software Engineer, Growth 	Cursor (Anysphere)	cursor	SF / NY	FullTime	3w+ ago	Engineering	Mid-Level	Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Flat Hierarchy, Wears Many Hats	4	https://jobs.ashbyhq.com/cursor/0ec39ed7-a5dc-4551-bb26-b7f4f9fb4a74?ref=jobsbyculture.com	https://jobsbyculture.com/companies/cursor	https://jobsbyculture.com/jobs?company=cursor		03/14/26 02:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=cursor
17	AI Researcher, Core ML (Turbo)	Together AI	together	San Francisco	Full-time	3w ago	Other	Mid-Level	Open Source Culture, Engineering-Driven, Learning & Growth, Flat Hierarchy, Wears Many Hats	4.1	https://job-boards.greenhouse.io/togetherai/jobs/4187681007?ref=jobsbyculture.com	https://jobsbyculture.com/companies/together	https://jobsbyculture.com/jobs?company=together		03/14/26 03:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=together
18	AI Engagement Manager	Runway	runway	New York; Remote; San Francisco	Full-time	1w ago	Other	Lead / Manager	Engineering-Driven, Direct Product Impact, Remote-Friendly, Learning & Growth, Ship Fast & Iterate	4.5	https://job-boards.greenhouse.io/runwayml/jobs/4578364005?ref=jobsbyculture.com	https://jobsbyculture.com/companies/runway	https://jobsbyculture.com/jobs?company=runway		03/14/26 04:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=runway
19	Member of Technical Staff - Systems	Modal	modal	New York	FullTime	3w+ ago	Other	Staff / Principal	Engineering-Driven, Ship Fast & Iterate, Deep Work / Low Meetings, Open Source Culture, Direct Product Impact, Wears Many Hats	4	https://jobs.ashbyhq.com/modal/9b33ebe7-e829-4f03-97ba-5c94dbd7daf6?ref=jobsbyculture.com	https://jobsbyculture.com/companies/modal	https://jobsbyculture.com/jobs?company=modal		03/14/26 05:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=modal
20	Senior / Staff Fullstack Engineer	Linear	linear	Europe	FullTime	3w+ ago	Engineering	Staff / Principal	Deep Work / Low Meetings, Remote-Friendly, Async Communication, Engineering-Driven, Direct Product Impact, Work-Life Balance	4.6	https://jobs.ashbyhq.com/linear/d3bc1ced-3ce4-4086-a050-555055dbb1ff?ref=jobsbyculture.com	https://jobsbyculture.com/companies/linear	https://jobsbyculture.com/jobs?company=linear		03/14/26 06:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=linear
21	AI Public Policy Manager - Washington DC	Hugging Face	huggingface	Washington, District of Columbia, United States	Full-time	1mo ago	Legal	Lead / Manager	Open Source Culture, Flat Hierarchy, Remote-Friendly, Flexible Hours, Transparency, Wears Many Hats, Async Communication	3.8	https://apply.workable.com/j/095A7F1D99?ref=jobsbyculture.com	https://jobsbyculture.com/companies/huggingface	https://jobsbyculture.com/jobs?company=huggingface		03/14/26 07:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=huggingface
22	Senior Software Engineer, Revenue	Pinecone	pinecone	US Remote	FullTime	3w+ ago	Engineering	Senior	Remote-Friendly, Flexible Hours, Diverse & Inclusive, Learning & Growth, Direct Product Impact, Engineering-Driven	4.2	https://jobs.ashbyhq.com/pinecone/eca8f469-b8e5-48e7-b999-aaa5b846cbbc?ref=jobsbyculture.com	https://jobsbyculture.com/companies/pinecone	https://jobsbyculture.com/jobs?company=pinecone		03/14/26 08:01PM	posted	https://jobsbyculture.com/api/og?type=company&slug=pinecone
23	AI Agent Researcher	Vast AI	vast	San Francisco, California, United States	Full-time	3w+ ago	Other	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Flat Hierarchy, Wears Many Hats, Strong Comp & Equity	5	https://job-boards.greenhouse.io/vastai/jobs/4494435008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/vast	https://jobsbyculture.com/jobs?company=vast		03/14/26 09:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=vast
24	Customer Solution Engineer	Weaviate	weaviate	United States	FullTime	3w+ ago	Engineering	Mid-Level	Remote-Friendly, Async Communication, Flat Hierarchy, Open Source Culture, Work-Life Balance, Diverse & Inclusive, Psychological Safety	4.3	https://jobs.ashbyhq.com/weaviate/2efb2561-703a-4543-aaa2-57c77ea864a2?ref=jobsbyculture.com	https://jobsbyculture.com/companies/weaviate	https://jobsbyculture.com/jobs?company=weaviate		03/14/26 10:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=weaviate
25	Account Executive (Hunter)	Databricks	databricks	Melbourne, Australia	Full-time	2d ago	Sales	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=8441871002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks		03/14/26 11:00PM	posted	https://jobsbyculture.com/api/og?type=company&slug=databricks
26	Account Executive, AI Sales	Stripe	stripe	San Francisco, CA	Full-time	1d ago	Sales	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7546284?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe		03/15/26 12:00AM	posted	https://jobsbyculture.com/api/og?type=company&slug=stripe
27	Accounting Manager - M&A	CoreWeave	coreweave	Livingston, NJ/ Sunnyvale, CA / Bellevue, WA	Full-time	1w ago	Finance	Lead / Manager	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4595172006&board=coreweave&gh_jid=4595172006?ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave		03/15/26 03:19AM	posted	https://jobsbyculture.com/api/og?type=company&slug=coreweave
