PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,No. of all inlinks
,https://boards.greenhouse.io/figma/jobs/5220003004?gh_jid=5220003004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5220003004?gh_jid=5220003004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,5
,https://careers.airbnb.com/positions/7743373?gh_jid=7743373%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7743373/?gh_jid=7743373%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://careers.airbnb.com/positions/7744247?gh_jid=7744247%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7744247/?gh_jid=7744247%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,6
,https://stripe.com/jobs/search?gh_jid=7571207%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/engineering-program-manager-operations/7571207,,1
,https://boards.greenhouse.io/figma/jobs/5696205004?gh_jid=5696205004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5696205004?gh_jid=5696205004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://boards.greenhouse.io/cloudflare/jobs/7649684?gh_jid=7649684%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7649684?gh_jid=7649684%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://boards.greenhouse.io/figma/jobs/5813638004?gh_jid=5813638004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5813638004?gh_jid=5813638004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7489560%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/manager-data-analytics/7489560,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8345599002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8345599002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7572741%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/product-support-specialist/7572741,,7
