Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Is source canonical,Is source noindex,Is link internal
Href link,false,https://jobsbyculture.com/companies/openai,200,https://news.ycombinator.com/item?id=44578951&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/apollo,200,https://news.ycombinator.com/item?id=46962870&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/seniority/lead/ml-ai,200,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,"Airbnb Manager, Machine Learning Engineering - Relevance and Personalization Airbnb · United States ›",,true,false,false
Href link,false,https://jobsbyculture.com/companies/weaviate,200,https://news.ycombinator.com/item?id=47314715&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/figma,200,https://news.ycombinator.com/item?id=47391947&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/roles/open-source/sales,200,https://careers.airbnb.com/positions/7540205?gh_jid=7540205%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,"Airbnb Analyst, Revenue Forecasting Airbnb · United States ›",,true,false,false
Href link,false,https://jobsbyculture.com/companies/anthropic,200,https://news.ycombinator.com/item?id=44920766&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/langchain,200,https://news.ycombinator.com/item?id=46902625&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/together,200,https://news.ycombinator.com/item?id=45806622&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/roles/diverse/ml-ai,200,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,"Airbnb Manager, Machine Learning Engineering - Relevance and Personalization Airbnb · United States ›",,true,false,false
Href link,false,https://jobsbyculture.com/companies/coreweave,200,https://news.ycombinator.com/item?id=46197269&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/posthog,200,https://news.ycombinator.com/item?id=44252394&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/compare/meta-vs-apple,200,https://www.apple.com/careers,403,Visit Apple Inc. careers →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/pinecone,200,https://news.ycombinator.com/item?id=46850152&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/huggingface,200,https://news.ycombinator.com/item?id=46364184&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/replit,200,https://news.ycombinator.com/item?id=46263332&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/cursor,200,https://news.ycombinator.com/item?id=46478302&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/supabase,200,https://news.ycombinator.com/item?id=46535464&ref=jobsbyculture.com,429,View thread →,,true,false,false
Href link,false,https://jobsbyculture.com/companies/airtable,200,https://news.ycombinator.com/item?id=46832950&ref=jobsbyculture.com,429,View thread →,,true,false,false
