id,title,company,company_slug,location,type,posted,role_category,seniority,culture_values,glassdoor_rating,apply_url,profile_url,jobs_filter_url,post_count,last_posted,status,og_image,job_id,highlight_url
11,"Account Executive - Enterprise, (Consulting/Investment Banking background)",Mistral AI,mistral,Paris,Full-time,6d ago,Sales,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Flat Hierarchy, Wears Many Hats, Open Source",4,https://jobs.lever.co/mistral/2a357282-9d44-4b41-a249-c75ffe878ce2?ref=jobsbyculture.com,https://jobsbyculture.com/companies/mistral,https://jobsbyculture.com/jobs?company=mistral,,,pending,https://jobsbyculture.com/api/og?type=company&slug=mistral,2a357282-9d44-4b41-a249-c75ffe878ce2,https://jobsbyculture.com/companies/mistral?job=2a357282-9d44-4b41-a249-c75ffe878ce2
12,"Account Executive, Mid-Market ",Notion,notion,"New York, New York",FullTime,3w+ ago,Sales,Mid-Level,"Direct Product Impact, Engineering-Driven, Learning & Growth, Transparent, Diverse & Inclusive, Strong Comp & Equity",4.4,https://jobs.ashbyhq.com/notion/0fe96f47-a9ea-4623-ac73-9053c3541297?ref=jobsbyculture.com,https://jobsbyculture.com/companies/notion,https://jobsbyculture.com/jobs?company=notion,,,pending,https://jobsbyculture.com/api/og?type=company&slug=notion,0fe96f47-a9ea-4623-ac73-9053c3541297,https://jobsbyculture.com/companies/notion?job=0fe96f47-a9ea-4623-ac73-9053c3541297
13,"Member of Technical Staff, MLE (Korea)",Cohere,cohere,Korea,FullTime,3w+ ago,Other,Staff / Principal,"Learning & Growth, Engineering-Driven, Wears Many Hats",2.9,https://jobs.ashbyhq.com/cohere/31c47498-0ccf-4d23-a418-0d2c616ba909?ref=jobsbyculture.com,https://jobsbyculture.com/companies/cohere,https://jobsbyculture.com/jobs?company=cohere,,,pending,https://jobsbyculture.com/api/og?type=company&slug=cohere,31c47498-0ccf-4d23-a418-0d2c616ba909,https://jobsbyculture.com/companies/cohere?job=31c47498-0ccf-4d23-a418-0d2c616ba909
14,AI Operations Specialist | Enablement ,Ramp,ramp,"New York, NY (HQ)",FullTime,3w+ ago,Operations,Mid-Level,"Ship Fast & Iterate, Direct Product Impact, Engineering-Driven, Transparent, Strong Comp & Equity, Learning & Growth",4.2,https://jobs.ashbyhq.com/ramp/63df0ffc-bdc6-40ba-906f-fe03378536b0?ref=jobsbyculture.com,https://jobsbyculture.com/companies/ramp,https://jobsbyculture.com/jobs?company=ramp,,,pending,https://jobsbyculture.com/api/og?type=company&slug=ramp,63df0ffc-bdc6-40ba-906f-fe03378536b0,https://jobsbyculture.com/companies/ramp?job=63df0ffc-bdc6-40ba-906f-fe03378536b0
15,Associate Observability Architect | USA EST| Remote ,Grafana Labs,grafanalabs,United States (Remote),Full-time,1w ago,Other,Junior / Entry,"Remote-Friendly, Open Source, Engineering-Driven, Transparent, Work-Life Balance, Learning & Growth",4.1,https://job-boards.greenhouse.io/grafanalabs/jobs/5786050004?ref=jobsbyculture.com,https://jobsbyculture.com/companies/grafanalabs,https://jobsbyculture.com/jobs?company=grafanalabs,,,pending,https://jobsbyculture.com/api/og?type=company&slug=grafanalabs,5786050004,https://jobsbyculture.com/companies/grafanalabs?job=5786050004
16,Administrative Business Partner,Google DeepMind,deepmind,"London, UK",Full-time,1w ago,Other,Mid-Level,"Deep Work / Low Meetings, Learning & Growth, Engineering-Driven, Diverse & Inclusive, Ethical AI / Safety, Strong Comp & Equity, Flexible Hours",4.2,https://job-boards.greenhouse.io/deepmind/jobs/7686685?ref=jobsbyculture.com,https://jobsbyculture.com/companies/deepmind,https://jobsbyculture.com/jobs?company=deepmind,,,pending,https://jobsbyculture.com/api/og?type=company&slug=deepmind,7686685,https://jobsbyculture.com/companies/deepmind?job=7686685
17,Enterprise Solutions Engineer,ElevenLabs,elevenlabs,San Francisco,FullTime,3w+ ago,Engineering,Mid-Level,"Ship Fast & Iterate, Remote-Friendly, Engineering-Driven, Direct Product Impact, Learning & Growth, Ethical AI / Safety",4.2,https://jobs.ashbyhq.com/elevenlabs/275f43d0-b62d-401d-830c-7c1ac0e688aa?ref=jobsbyculture.com,https://jobsbyculture.com/companies/elevenlabs,https://jobsbyculture.com/jobs?company=elevenlabs,,,pending,https://jobsbyculture.com/api/og?type=company&slug=elevenlabs,275f43d0-b62d-401d-830c-7c1ac0e688aa,https://jobsbyculture.com/companies/elevenlabs?job=275f43d0-b62d-401d-830c-7c1ac0e688aa
18,Data Scientist - Network Value,Plaid,plaid,San Francisco,FullTime,3w+ ago,Data,Mid-Level,"Engineering-Driven, Transparent, Learning & Growth, Direct Product Impact, Psychological Safety, Diverse & Inclusive",4.6,https://jobs.ashbyhq.com/plaid/606b56f1-f703-4060-b798-643900d85a2a?ref=jobsbyculture.com,https://jobsbyculture.com/companies/plaid,https://jobsbyculture.com/jobs?company=plaid,,,pending,https://jobsbyculture.com/api/og?type=company&slug=plaid,606b56f1-f703-4060-b798-643900d85a2a,https://jobsbyculture.com/companies/plaid?job=606b56f1-f703-4060-b798-643900d85a2a
19,Engineering Site Lead,Perplexity AI,perplexity,London,FullTime,3w+ ago,Other,Lead / Manager,"Ship Fast & Iterate, Engineering-Driven, Direct Product Impact, Strong Comp & Equity, Learning & Growth",4.7,https://jobs.ashbyhq.com/perplexity/638e6823-be7f-46c6-9675-7b1197fc9b8c?ref=jobsbyculture.com,https://jobsbyculture.com/companies/perplexity,https://jobsbyculture.com/jobs?company=perplexity,,,pending,https://jobsbyculture.com/api/og?type=company&slug=perplexity,638e6823-be7f-46c6-9675-7b1197fc9b8c,https://jobsbyculture.com/companies/perplexity?job=638e6823-be7f-46c6-9675-7b1197fc9b8c
20,"Account Executive, Commercial Install Base ",Vercel,vercel,"Hybrid - San Francisco, New York City, Austin",Full-time,1w ago,Sales,Mid-Level,"Ship Fast & Iterate, Engineering-Driven, Remote-Friendly, Direct Product Impact, Open Source",3.9,https://job-boards.greenhouse.io/vercel/jobs/5708732004?ref=jobsbyculture.com,https://jobsbyculture.com/companies/vercel,https://jobsbyculture.com/jobs?company=vercel,,,pending,https://jobsbyculture.com/api/og?type=company&slug=vercel,5708732004,https://jobsbyculture.com/companies/vercel?job=5708732004
